1	7	550	554	spritesheet	0
2	8	577	554.9999	spritesheet	0
3	8	707	554	spritesheet	0
4	8	835.9999	554	spritesheet	0
5	8	966	554	spritesheet	0
6	9	1097	554	spritesheet	0
7	0	61.79858	466.36	spritesheet	0.001424091
8	4	485.0153	410.0004	spritesheet	1.570656
9	4	589.9657	264.54	spritesheet	-0.004726546
10	4	699.5173	408.9569	spritesheet	1.567803
12	6	797.4011	473.0049	spritesheet	1.570839
13	6	967.3732	473.0065	spritesheet	1.570787
14	4	845.0689	392.0151	spritesheet	8.587491E-06
15	1	640.988	424.5762	spritesheet	-0.01539444
16	1	887.6637	424.501	spritesheet	-3.609841E-06
